name|weight|mass|A|d|b|t|y|yp|Ix|Zx|Sx|rx|Iy|Zy|Sy|ry|ro|H
 |lbf/ft|lbm/ft|in²|in|in|in|in|in|in⁴|in³|in³|in|in⁴|in³|in³|in|in|
2L3X3X3/16X3/8|7.42|7.42|2.18|3.00|3.00|0.188|0.812|0.182|1.90|1.55|0.866|0.933|4.09|2.18|1.28|1.37|1.80|0.842
2L3X3X3/16X3/4|7.42|7.42|2.18|3.00|3.00|0.188|0.812|0.182|1.90|1.55|0.866|0.933|4.97|2.59|1.47|1.51|1.91|0.859
2L2-1/2X2-1/2X1/2|15.4|15.4|4.52|2.50|2.50|0.500|0.803|0.452|2.44|2.58|1.43|0.735|5.37|3.63|2.15|1.09|1.43|0.850
2L2-1/2X2-1/2X1/2X3/8|15.4|15.4|4.52|2.50|2.50|0.500|0.803|0.452|2.44|2.58|1.43|0.735|6.84|4.48|2.55|1.23|1.54|0.871
2L2-1/2X2-1/2X1/2X3/4|15.4|15.4|4.52|2.50|2.50|0.500|0.803|0.452|2.44|2.58|1.43|0.735|8.73|5.32|3.04|1.39|1.67|0.890
2L2-1/2X2-1/2X3/8|11.8|11.8|3.46|2.50|2.50|0.375|0.758|0.346|1.94|2.02|1.12|0.749|3.96|2.62|1.58|1.07|1.42|0.839
2L2-1/2X2-1/2X3/8X3/8|11.8|11.8|3.46|2.50|2.50|0.375|0.758|0.346|1.94|2.02|1.12|0.749|5.07|3.27|1.89|1.21|1.53|0.861
2L2-1/2X2-1/2X3/8X3/4|11.8|11.8|3.46|2.50|2.50|0.375|0.758|0.346|1.94|2.02|1.12|0.749|6.40|3.92|2.23|1.36|1.65|0.881
2L2-1/2X2-1/2X5/16|10.0|10.0|2.92|2.50|2.50|0.313|0.735|0.292|1.67|1.71|0.948|0.756|3.22|2.15|1.29|1.05|1.42|0.834
2L2-1/2X2-1/2X5/16X3/8|10.0|10.0|2.92|2.50|2.50|0.313|0.735|0.292|1.67|1.71|0.948|0.756|4.14|2.69|1.54|1.19|1.53|0.856
